location,New York,New York,New York,New York,New York,New York
lat,40.66653,40.66653,40.66653,40.66653,40.66653,40.66653
lon,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250
asl,44.788,44.788,44.788,44.788,44.788,44.788
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity
unit,°F,°F,°F,%,%,%
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Relative Humidity [2 m],New York Relative Humidity [2 m]
20201021T0000,71.683014,62.737015,66.93701,97.0,82.0,93.125
20201022T0000,72.42101,63.025017,66.81551,96.0,75.0,89.333336
20201023T0000,68.24501,60.469013,63.956512,95.0,81.0,90.833336
20201024T0000,68.49701,51.847015,61.50177,95.0,50.0,79.083336
20201025T0000,55.627014,44.359013,50.09502,92.0,45.0,65.958336
20201026T0000,58.453014,51.847015,55.269268,95.0,90.0,92.958336
20201027T0000,62.071014,52.72901,57.64377,94.0,52.0,69.833336
20201028T0000,63.763016,53.323013,58.331512,93.0,61.0,74.916664
20201029T0000,57.481014,46.915016,52.72227,94.0,67.0,86.0
20201030T0000,46.429016,37.321014,41.230015,89.0,79.0,84.083336
20201031T0000,47.059013,33.109016,41.647762,85.0,49.0,67.541664
20201101T0000,57.697014,42.253014,49.977264,95.0,53.0,81.083336
20201102T0000,40.345013,35.269016,37.833263,79.0,36.0,56.875
20201103T0000,49.183014,35.035015,42.19826,71.0,49.0,56.916668
20201104T0000,63.745014,41.407013,51.642258,85.0,43.0,59.875
20201105T0000,68.209015,51.289013,58.65251,97.0,54.0,80.125
20201106T0000,70.90901,55.087013,62.58926,96.0,49.0,74.875
20201107T0000,72.33102,51.75701,63.265015,86.0,45.0,61.583332
20201108T0000,72.31302,50.713013,62.929016,89.0,46.0,62.833332
20201109T0000,73.015015,53.593014,63.313766,84.0,52.0,69.625
20201110T0000,71.179016,55.699013,63.087265,97.0,71.0,87.125
20201111T0000,71.34102,59.65901,65.71376,96.0,83.0,91.791664
20201112T0000,66.10301,53.089012,59.962757,97.0,56.0,79.5
20201113T0000,52.927013,47.725014,51.25076,92.0,71.0,84.875
20201114T0000,49.399014,40.327015,45.23351,89.0,47.0,65.25
20201115T0000,60.775017,40.939014,51.253017,93.0,56.0,69.833336
20201116T0000,57.301014,42.235016,47.444515,73.0,44.0,57.125
20201117T0000,47.491013,36.367016,41.491013,77.0,52.0,64.625
20201118T0000,36.223015,30.283014,32.868267,62.0,44.0,52.708332
20201119T0000,46.483017,30.463015,37.751514,77.0,44.0,59.0
20201120T0000,59.227013,38.491016,48.126266,91.0,47.0,66.0
20201121T0000,58.435013,47.07701,52.652515,77.0,44.0,59.833332
20201122T0000,55.393013,42.307014,48.806515,96.0,59.0,76.333336
20201123T0000,58.831017,39.841015,51.16151,96.0,52.0,75.583336
20201124T0000,45.619015,35.575016,40.59926,91.0,45.0,66.666664
